Status,IPAddress,Progress,Duration (in seconds),Finished,UserLanguage,Q1,Q2,Q3,Q4,Random ID,bonus,perturb1,perturb2,perturb3,pg1score
0,73.221.7.133,100,35,1,EN,2,2,5,1,186700,64,1,2,1,29
0,67.149.129.29,100,29,1,EN,4,2,5,2,205014,12,1,1,1,29
0,76.101.170.121,100,26,1,EN,9,4,5,1,972268,48,2,1,2,49
0,71.84.110.137,100,26,1,EN,6,3,5,1,270318,72,2,2,1,39
0,181.214.200.139,100,94,1,EN,5,3,5,1,510408,72,2,2,1,39
0,24.140.178.151,100,35,1,EN,3,2,3,1,472573,49,1,2,1,29
8,69.140.61.71,100,43,1,EN,6,3,5,1,552399,72,2,2,1,39
0,24.246.165.138,100,24,1,EN,2,4,6,1,823195,85,2,2,1,49
0,184.103.116.110,100,28,1,EN,5,3,5,1,581558,38,1,1,2,39
0,73.12.87.232,100,45,1,EN,3,4,5,1,763383,28,1,1,1,49
0,98.254.117.56,100,50,1,EN,1,3,4,1,330724,55,1,2,1,39
0,73.232.145.248,100,25,1,EN,5,2,5,2,235598,17,2,1,1,29
0,108.238.168.46,100,57,1,EN,11,3,5,1,790254,38,1,1,2,39
0,100.6.102.245,100,30,1,EN,5,2,2,1,557598,14,1,1,1,29
0,64.121.142.152,100,79,1,EN,5,2,6,1,173800,46,2,1,2,29
0,72.133.41.170,100,15,1,EN,6,1,5,1,109889,78,2,2,2,21
0,142.196.125.249,100,42,1,EN,4,2,4,1,581047,59,2,2,1,29
0,73.71.227.221,100,78,1,EN,5,3,5,1,279516,77,1,2,2,39
0,198.228.134.96,100,25,1,EN,10,2,5,1,868377,29,2,1,1,29
0,64.193.204.181,100,21,1,EN,9,2,5,1,602498,76,1,2,2,29
0,67.141.33.181,100,53,1,EN,2,2,2,1,748961,19,2,1,1,29
0,64.137.65.164,100,21,1,EN,3,2,6,1,345378,90,2,2,2,29
0,141.155.141.84,100,22,1,EN,9,1,5,1,270076,38,2,1,2,21
0,24.216.107.120,100,42,1,EN,7,5,4,1,189568,59,1,2,1,59
0,138.229.185.52,100,71,1,EN,6,4,7,1,885766,87,1,2,1,49
0,73.39.97.193,100,31,1,EN,10,3,6,1,157457,82,2,2,1,39
0,75.117.194.108,100,35,1,EN,12,3,2,1,402655,28,1,1,2,39
0,71.193.58.245,100,28,1,EN,2,2,4,2,485618,7,1,1,2,29
0,73.121.38.91,100,38,1,EN,2,2,5,1,769285,80,2,2,2,29
0,135.84.203.231,100,58,1,EN,1,2,4,1,118167,31,1,1,2,29
0,156.96.118.226,100,24,1,EN,6,2,5,1,550156,64,1,2,1,29
0,76.16.62.81,100,51,1,EN,4,2,2,1,450009,44,1,2,1,29
0,72.179.163.157,100,29,1,EN,5,2,5,1,455976,24,1,1,1,29
0,50.82.98.45,100,23,1,EN,4,2,5,1,932577,36,1,1,2,29
0,67.85.175.146,100,27,1,EN,1,5,3,1,575406,32,2,1,1,59
0,174.250.64.244,100,29,1,EN,2,5,3,1,197888,64,2,2,1,59
0,74.64.8.49,100,34,1,EN,2,2,5,2,935640,56,2,2,1,29
0,47.39.46.31,100,77,1,EN,8,4,5,1,758399,28,1,1,1,49
0,104.229.192.67,100,31,1,EN,11,2,6,1,201168,34,2,1,1,29
0,181.214.107.113,100,21,1,EN,3,2,5,1,143146,64,1,2,1,29
0,73.217.46.213,100,20,1,EN,6,3,5,1,964742,38,1,1,2,39
0,173.73.183.8,100,22,1,EN,6,3,5,1,870210,44,2,1,2,39
0,98.115.103.63,100,32,1,EN,10,4,5,1,431416,87,2,2,2,49
0,70.93.199.177,100,20,1,EN,6,3,7,1,495518,54,2,1,2,39
0,99.203.11.1,100,25,1,EN,5,3,4,1,759190,74,2,2,2,39
0,73.118.114.184,100,78,1,EN,5,2,7,1,601217,51,2,1,2,29
0,50.114.85.86,100,97,1,EN,7,3,4,1,585883,33,1,1,2,39
0,24.126.243.235,100,20,1,EN,8,2,5,1,120211,64,1,2,1,29
0,209.188.54.1,100,23,1,EN,2,2,2,2,928482,2,1,1,1,29
0,173.172.88.46,100,21,1,EN,6,3,6,1,495559,82,2,2,1,39
0,66.27.145.120,100,81,1,EN,6,4,7,1,536831,49,1,1,2,49
0,174.78.4.170,100,21,1,EN,2,5,5,1,926644,90,2,2,2,59
0,73.65.80.148,100,75,1,EN,10,3,5,1,460042,65,1,2,1,39
0,69.141.212.60,100,26,1,EN,5,2,5,1,947490,80,2,2,2,29
0,68.42.37.34,100,23,1,EN,8,3,4,1,414898,62,2,2,1,39
0,98.235.211.8,100,26,1,EN,12,3,6,1,793156,31,1,1,1,39
0,104.159.131.229,100,14,1,EN,10,4,6,1,221854,53,2,1,2,49
0,216.30.159.114,100,32,1,EN,4,3,5,2,808377,53,1,2,2,39
0,73.174.20.206,100,28,1,EN,6,5,5,1,723564,78,2,2,1,59
0,47.185.229.104,100,18,1,EN,12,1,5,1,715795,74,1,2,2,21
0,70.187.250.50,100,75,1,EN,6,2,5,1,342452,29,2,1,1,29
0,181.215.67.4,100,20,1,EN,2,3,5,1,863842,65,1,2,1,39
0,73.157.16.247,100,35,1,EN,4,5,5,1,770558,90,2,2,2,59
0,131.148.16.61,100,32,1,EN,5,1,2,2,900046,34,2,2,2,21
0,73.120.178.0,100,17,1,EN,1,3,4,1,412943,39,2,1,2,39
0,73.156.39.65,100,24,1,EN,3,4,4,1,330244,69,1,2,2,49
0,198.228.135.85,100,36,1,EN,3,3,5,1,550600,32,2,1,1,39
0,174.100.131.224,100,29,1,EN,3,2,5,1,665625,76,1,2,2,29
0,50.89.178.162,100,22,1,EN,4,1,4,2,866698,40,1,2,1,21
0,73.181.193.139,100,44,1,EN,4,2,5,1,507597,36,1,1,2,29
0,75.35.123.31,100,19,1,EN,11,2,2,2,486719,2,1,1,2,29
0,71.235.61.17,100,17,1,EN,6,2,5,1,183253,64,1,2,1,29
0,108.249.16.197,100,34,1,EN,4,4,5,1,854882,28,1,1,1,49
0,67.174.115.251,100,23,1,EN,4,2,4,2,312876,42,1,2,2,29
0,173.91.17.128,100,29,1,EN,3,4,5,1,174554,36,2,1,1,49
0,107.77.206.218,100,61,1,EN,7,2,5,1,257053,24,1,1,1,29
0,96.247.199.130,100,34,1,EN,5,2,5,1,420572,64,1,2,1,29
0,47.150.185.248,100,50,1,EN,6,3,5,1,527838,26,1,1,1,39
0,73.157.252.166,100,34,1,EN,2,2,6,2,422658,62,1,2,2,29
0,172.251.26.99,100,17,1,EN,5,4,5,1,722480,75,2,2,1,49
0,71.69.85.84,100,49,1,EN,1,3,5,1,569960,65,1,2,1,39
0,100.0.182.104,100,34,1,EN,7,2,6,1,128148,41,1,1,2,29
0,68.98.155.54,100,20,1,EN,5,3,4,1,749767,74,2,2,2,39
0,67.246.101.89,100,35,1,EN,6,4,5,1,554706,48,2,1,2,49
0,73.46.79.2,100,45,1,EN,4,2,5,1,991580,24,1,1,1,29
0,204.85.209.206,100,17,1,EN,11,3,5,1,981343,26,1,1,1,39
0,156.72.30.1,100,87,1,EN,9,2,5,1,121722,80,2,2,2,29
0,73.148.185.169,100,21,1,EN,4,3,5,1,553928,65,1,2,1,39
0,172.58.62.204,100,35,1,EN,5,4,2,1,881194,38,2,1,2,49
0,23.124.153.220,100,36,1,EN,12,2,7,1,236436,51,2,1,2,29
0,50.243.136.169,100,28,1,EN,4,2,6,1,396006,46,2,1,2,29
0,168.151.102.44,100,26,1,EN,2,3,5,1,535871,72,2,2,1,39
0,155.178.180.12,100,17,1,EN,6,3,5,1,959601,65,1,2,1,39
0,204.186.255.22,100,27,1,EN,5,4,6,1,417456,41,2,1,1,49
0,76.113.123.24,100,34,1,EN,3,2,6,1,887601,73,1,2,1,29
0,73.210.149.216,100,50,1,EN,6,2,5,1,248106,41,2,1,2,29
0,73.146.150.247,100,16,1,EN,6,1,3,2,438787,39,2,2,2,21
0,24.170.204.60,100,20,1,EN,5,2,5,1,448223,24,1,1,1,29
0,98.156.172.88,100,30,1,EN,4,3,3,1,169687,30,1,1,2,39
0,73.18.110.92,100,46,1,EN,10,2,6,1,821719,78,2,2,1,29
0,24.181.95.217,100,24,1,EN,5,2,5,1,333560,68,2,2,1,29
0,68.175.52.18,100,29,1,EN,1,1,4,2,908052,40,1,2,2,21
0,72.209.133.229,100,32,1,EN,8,2,6,1,907443,85,1,2,2,29
0,32.213.106.250,100,41,1,EN,6,2,5,1,369599,76,1,2,2,29
0,70.114.159.154,100,42,1,EN,5,5,5,1,461122,69,1,2,1,59
0,147.97.114.84,100,49,1,EN,5,4,6,1,985240,89,1,2,2,49
0,98.125.171.209,100,61,1,EN,4,6,3,1,785436,35,2,1,1,69
0,172.223.201.89,100,19,1,EN,3,3,5,2,899576,14,1,1,2,39
0,68.109.52.221,100,32,1,EN,5,2,3,1,117410,49,1,2,1,29
0,181.215.184.60,100,47,1,EN,9,2,5,1,690498,24,1,1,1,29
0,68.8.150.126,100,29,1,EN,2,5,5,1,580844,41,1,1,2,59
0,107.211.48.243,100,48,1,EN,11,4,5,1,661454,67,1,2,1,49
0,67.255.242.197,100,22,1,EN,4,4,5,1,753103,48,2,1,2,49
0,24.94.235.203,100,19,1,EN,1,2,4,2,370951,7,1,1,2,29
0,67.78.156.30,100,35,1,EN,5,2,5,1,837385,41,2,1,2,29
0,107.77.234.8,100,59,1,EN,9,3,3,1,151105,69,2,2,2,39
0,198.228.135.168,100,25,1,EN,4,3,6,1,352886,43,1,1,2,39
0,162.154.128.144,100,24,1,EN,1,4,7,2,786603,83,2,2,2,49
0,216.51.134.180,100,61,1,EN,3,4,4,1,971208,31,2,1,1,49
0,172.12.205.68,100,12,1,EN,12,3,5,1,716995,38,1,1,2,39
0,50.5.32.5,100,84,1,EN,5,2,6,1,293528,85,1,2,2,29
0,66.27.189.95,100,22,1,EN,6,4,5,1,886657,79,1,2,2,49
0,98.116.65.86,100,35,1,EN,11,1,5,1,331722,35,1,1,2,21
0,160.3.198.230,100,59,1,EN,3,2,4,2,422745,47,2,2,1,29
0,71.81.159.188,100,14,1,EN,3,3,5,1,463132,38,1,1,2,39
0,128.36.7.226,100,16,1,EN,8,2,7,1,634782,34,1,1,1,29
0,97.113.212.94,100,26,1,EN,8,3,3,1,366370,62,1,2,2,39
0,76.195.207.149,100,30,1,EN,4,1,4,1,626458,56,2,2,1,21
0,98.200.135.11,100,31,1,EN,1,3,3,2,912113,45,2,2,2,39
0,172.113.94.150,100,26,1,EN,5,5,5,1,345045,81,1,2,2,59
0,76.244.40.127,100,52,1,EN,8,2,5,1,521592,24,1,1,1,29
0,67.241.38.12,100,14,1,EN,5,5,5,1,387677,39,2,1,1,59
0,173.167.123.185,100,15,1,EN,12,3,5,1,810020,77,1,2,2,39
0,107.12.102.154,100,32,1,EN,2,3,5,1,768175,32,2,1,1,39
0,24.253.62.209,100,40,1,EN,6,2,5,1,908143,41,2,1,2,29
0,50.24.136.38,100,42,1,EN,7,2,5,1,195092,29,2,1,1,29
0,73.230.54.103,100,32,1,EN,2,2,4,1,156391,31,1,1,2,29
0,69.246.40.27,100,49,1,EN,5,4,7,1,260137,87,1,2,1,49
0,172.58.21.125,100,22,1,EN,4,3,5,1,643371,26,1,1,1,39
0,191.101.169.215,100,20,1,EN,8,3,5,1,956820,32,2,1,1,39
0,67.85.70.182,100,40,1,EN,5,2,5,2,367011,56,2,2,1,29
0,172.113.150.200,100,16,1,EN,1,1,5,2,300578,14,2,1,2,21
0,69.136.185.8,100,19,1,EN,3,4,7,1,921220,49,1,1,2,49
0,70.125.154.152,100,32,1,EN,6,3,7,1,954809,54,2,1,2,39
0,24.254.37.82,100,32,1,EN,4,3,7,1,808110,85,1,2,1,39
0,72.133.99.14,100,43,1,EN,7,2,5,1,755381,68,2,2,1,29
0,73.50.19.15,100,29,1,EN,9,2,5,1,219460,41,2,1,2,29
0,75.181.224.196,100,24,1,EN,2,1,3,1,902457,19,2,1,1,21
0,104.35.201.195,100,39,1,EN,5,2,5,1,258667,76,1,2,2,29
0,100.38.205.40,100,118,1,EN,5,4,6,1,776179,89,1,2,2,49
0,71.135.83.137,100,21,1,EN,3,2,5,1,330296,36,1,1,2,29
0,174.16.94.1,100,16,1,EN,4,3,4,1,168634,21,1,1,1,39
